id,food_name,disposal_rate,energy(KJ),energy(Kcal),moisture,protein_by_amino_acid_composition,protein,fatty_acid_tria_silglycerol_equivalent,cholesterol,lipid,available_carbohydrates(single_sugar),available_carbohydrates_(mass_meters),available_carbohydrates_by_the_dispatch_method,total_amount_of_dietary_fiber,sugar_alcohol,carbohydrate,organic_acid,ash,sodium,potassium,calcium,magnesium,rin,iron,zinc,copper,manganese
30,こむぎ　［パン類］　角形食パン　食パン,0,1050,248,39.2,7.4,8.9,3.7,0,4.1,48.2,44.2,44.1,4.2,0,46.4,0,1.4,470,86,22,18,67,0.5,0.5,0.09,0.25
31,こむぎ　［パン類］　角形食パン　焼き,0,1138,269,33.6,8.3,9.7,4,0,4.5,52.1,47.8,47.9,4.6,0,50.6,0,1.6,520,93,26,20,77,0.5,0.6,0.1,0.28
32,こむぎ　［パン類］　角形食パン　耳を除いたもの,45,955,226,44.2,6.9,8.2,3.4,0,3.7,43.9,40.2,40.4,3.8,0,42.6,0,1.3,440,78,20,16,61,0.4,0.4,0.08,0.23
33,こむぎ　［パン類］　角形食パン　耳,55,1152,273,33.5,0,9.7,0,0,4.5,0,0,46.1,4.7,0,50.8,0,1.5,510,92,23,18,73,0.5,0.6,0.1,0.27
34,こむぎ　［パン類］　食パン　リーンタイプ,0,1045,246,39.2,7.4,8,3.5,0,3.7,48.5,44.1,46.4,2,0,47.5,0,1.6,520,67,12,16,46,0.6,0.6,0.1,0.21
35,こむぎ　［パン類］　食パン　リッチタイプ,0,1085,256,39.2,7.2,7.8,5.5,32,6,46.6,42.7,44.9,1.7,0,45.6,0,1.5,400,88,25,15,62,0.6,0.7,0.09,0.18
36,こむぎ　［パン類］　山形食パン　食パン,0,1043,246,39.2,7.2,7.8,3.3,0,3.5,49,44.7,46.8,1.8,0,47.9,0,1.6,490,76,18,16,51,0.6,0.6,0.1,0.21
37,こむぎ　［パン類］　コッペパン,0,1097,259,37,7.3,8.5,3.6,0,3.8,49.6,45.3,48.5,2,0,49.1,0,1.6,520,95,37,24,75,1,0.7,0.12,0.39
38,こむぎ　［パン類］　乾パン,0,1639,386,5.5,8.7,9.5,4,0,4.4,82.2,74.9,76.8,3.1,0,78.8,0,1.8,490,160,30,27,95,1.2,0.6,0.18,0.82
39,こむぎ　［パン類］　フランスパン,0,1231,289,30,8.6,9.4,1.1,0,1.3,63.9,58.2,55.8,2.7,0,57.5,0,1.8,620,110,16,22,72,0.9,0.8,0.14,0.39
40,こむぎ　［パン類］　ライ麦パン,0,1066,252,35,6.7,8.4,2,0,2.2,0,0,49,5.6,0,52.7,0,1.7,470,190,16,40,130,1.4,1.3,0.18,0.87
41,こむぎ　［パン類］　全粒粉パン,0,1059,251,39.2,7.2,7.9,5.4,0,5.7,43.7,39.9,41.9,4.5,0,45.5,0,1.7,410,140,14,51,120,1.3,0.4,0.18,1.35
42,こむぎ　［パン類］　ぶどうパン,0,1113,263,35.7,7.4,8.2,3.3,0,3.5,0,0,49.9,2.2,0,51.1,0,1.5,400,210,32,23,86,0.9,0.6,0.15,0.32
43,こむぎ　［パン類］　ロールパン,0,1304,309,30.7,8.5,10.1,8.5,0,9,49.7,45.7,48.6,2,0,48.6,0,1.6,490,110,44,22,97,0.7,0.8,0.12,0.29
44,こむぎ　［パン類］　クロワッサン　レギュラータイプ,0,1702,406,20,5.9,6.5,19.3,20,20.4,52.3,47.9,51.2,1.9,0,51.5,0,1.6,530,110,27,14,65,0.4,0.5,0.08,0.26
45,こむぎ　［パン類］　クロワッサン　リッチタイプ,0,1828,438,20,7.3,7.9,25.4,35,26.8,0,0,44.1,1.8,0,43.9,0,1.4,470,90,21,17,67,0.6,0.6,0.1,0.29
46,こむぎ　［パン類］　くるみパン,0,1225,292,39.2,7.5,8.2,12.5,12,12.6,38.4,34.8,37,2.4,0,38.7,0,1.3,310,150,35,33,88,0.8,0.9,0.23,0.61
47,こむぎ　［パン類］　イングリッシュマフィン,0,946,224,46,7.4,8.1,3.2,0,3.6,40.1,36.7,40.6,1.2,0,40.8,0,1.5,480,84,53,19,96,0.9,0.8,0.12,0.28
48,こむぎ　［パン類］　ナン,0,1086,257,37.2,9.3,10.3,3.1,0,3.4,45.6,41.6,46.9,2,0,47.6,0,1.5,530,97,11,22,77,0.8,0.7,0.11,0.3
49,こむぎ　［パン類］　ベーグル,0,1142,270,32.3,8.2,9.6,1.9,0,2,50.3,46,53.6,2.5,0,54.6,0,1.4,460,97,24,24,81,1.3,0.7,0.11,0.45
50,こむぎ　［うどん・そうめん類］　うどん　生,0,1058,249,33.5,5.2,6.1,0.5,0,0.6,55,50.1,54.2,3.6,0,56.8,0,3,1000,90,18,13,49,0.3,0.3,0.08,0.39
51,こむぎ　［うどん・そうめん類］　うどん　ゆで,0,402,95,75,2.3,2.6,0.3,0,0.4,21.4,19.5,20.7,1.3,0,21.6,0,0.4,120,9,6,6,18,0.2,0.1,0.04,0.12
52,こむぎ　［うどん・そうめん類］　うどん　半生うどん,0,1257,296,23.8,6.6,7.8,2.9,0,3.4,63,57.4,60,4.1,0.1,62.5,0,2.5,1200,98,22,15,64,0.6,0.3,0.09,0.45
53,こむぎ　［うどん・そうめん類］　干しうどん　乾,0,1420,333,13.5,8,8.5,1,0,1.1,76.8,69.9,70.2,2.4,0,71.9,0,5,1700,130,17,19,70,0.6,0.4,0.11,0.5
54,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,0,498,117,70,2.9,3.1,0.4,0,0.5,26.7,24.2,25.4,0.7,0,25.8,0,0.6,210,14,7,4,24,0.2,0.1,0.04,0.14
55,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,0,1413,333,12.5,8.8,9.5,1,0,1.1,71.5,65.1,71,2.5,0,72.7,0,4.2,1500,120,17,22,70,0.6,0.4,0.12,0.44
56,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,0,487,114,70,3.3,3.5,0.3,0,0.4,25.6,23.3,25.1,0.9,0,25.8,0,0.3,85,5,6,5,24,0.2,0.2,0.05,0.12
57,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,0,1329,312,14,8.6,9.3,1.4,0,1.5,69.7,63.5,67.9,1.8,0,68.9,0,6.3,2300,110,20,23,70,0.6,0.4,0.14,0.43
