id,food_name,disposal_rate,energy(KJ),energy(Kcal),moisture,protein_by_amino_acid_composition,protein,fatty_acid_tria_silglycerol_equivalent,cholesterol,lipid,available_carbohydrates(single_sugar),available_carbohydrates_(mass_meters),available_carbohydrates_by_the_dispatch_method,total_amount_of_dietary_fiber,sugar_alcohol,carbohydrate,organic_acid,ash,sodium,potassium,calcium,magnesium,rin,iron,zinc,copper,manganese
681,トレビス　葉　生,20,72,17,94.1,0.9,1.1,0.1,0,0.2,0,0,2.3,2,0,3.9,0,0.7,11,290,21,11,34,0.3,0.2,0.06,0.15
682,とんぶり　ゆで,0,371,89,76.7,0,6.1,2.6,0,3.5,0,0,6.7,7.1,0,12.9,0,0.8,5,190,15,74,170,2.8,1.4,0.25,0.78
683,ながさきはくさい　葉　生,3,49,12,93.9,1,1.3,0,0,0.1,0,0,0.8,2.2,0,2.6,0,1.8,21,300,140,27,37,2.3,0.3,0.05,0.21
684,ながさきはくさい　葉　ゆで,5,76,18,93.2,1.7,2.2,0,0,0.1,0,0,1.6,2.4,0,3.4,0,0.8,12,120,120,24,48,1.6,0.2,0.04,0.2
685,（なす類）　なす　果実　生,10,77,18,93.2,0.7,1.1,0,1,0.1,2.6,2.6,3,2.2,0,5.1,0.4,0.5,0,220,18,17,30,0.3,0.2,0.06,0.16
686,（なす類）　なす　果実　ゆで,0,69,17,94,0.7,1,0,0,0.1,2.3,2.3,2.5,2.1,0,4.5,0.3,0.4,1,180,20,16,27,0.3,0.2,0.05,0.15
687,（なす類）　なす　果実　油いため,0,300,73,85.8,1,1.5,5.5,0,5.8,3.3,3.2,3.9,2.6,0,6.3,0.5,0.6,0,290,22,21,40,0.4,0.2,0.07,0.2
688,（なす類）　なす　果実　天ぷら,0,683,165,71.9,1.1,1.6,13.1,1,14,10.4,9.7,11.5,1.9,0,12,0,0.5,21,200,31,14,41,0.2,0.2,0.07,0.16
689,（なす類）　べいなす　果実　生,30,83,20,93,0.9,1.1,0,0,0.1,2.7,2.6,2.8,2.4,0,5.3,0.4,0.5,1,220,10,14,26,0.4,0.2,0.08,0.13
690,（なす類）　べいなす　果実　素揚げ,35,731,177,74.8,0.8,1,16.5,0,17,3.2,3.1,5.1,1.8,0,6.7,0.5,0.5,1,220,10,14,26,0.4,0.2,0.09,0.13
691,（なす類）　漬物　塩漬,0,90,22,90.4,0.9,1.4,0,0,0.1,0,0,3.1,2.7,0,5.2,0,2.9,880,260,18,18,33,0.6,0.2,0.09,0.18
692,（なす類）　漬物　ぬかみそ漬,0,112,27,88.7,0,1.7,0,0,0.1,0,0,3.4,2.7,0,6.1,0,3.4,990,430,21,33,44,0.5,0.2,0.09,0.19
693,（なす類）　漬物　こうじ漬,0,369,87,69.1,0,5.5,0,0,0.1,0,0,14,4.2,0,18.2,0,7.1,2600,210,65,22,65,1.4,0.4,0.17,0.4
694,（なす類）　漬物　からし漬,0,536,127,61.2,0,2.6,0,0,0.2,0,0,26.5,4.2,0,30.7,0,5.3,1900,72,71,36,55,1.5,0.4,0.13,0.32
695,（なす類）　漬物　しば漬,0,111,27,86.4,0,1.4,0,0,0.2,0,0,2.6,4.4,0,7,0,4.9,1600,50,30,16,27,1.7,0.2,0.12,0.29
696,なずな　葉　生,5,147,35,86.8,0,4.3,0,0,0.1,0,0,1.6,5.4,0,7,0,1.7,3,440,290,34,92,2.4,0.7,0.16,1
697,（なばな類）　和種なばな　花らい・茎　生,0,141,34,88.4,3.6,4.4,0.1,0,0.2,0,0,2.5,4.2,0,5.8,0,1.2,16,390,160,29,86,2.9,0.7,0.09,0.32
698,（なばな類）　和種なばな　花らい・茎　ゆで,0,117,28,90.2,3.8,4.7,0.1,0,0.1,0,0,0.9,4.3,0,4.3,0,0.7,7,170,140,19,86,1.7,0.4,0.07,0.25
699,（なばな類）　洋種なばな　茎葉　生,0,149,36,88.3,3.3,4.1,0.2,0,0.4,0,0,3.3,3.7,0,6,0,1.1,12,410,97,28,78,0.9,0.6,0.09,0.67
700,（なばな類）　洋種なばな　茎葉　ゆで,0,125,30,90,2.9,3.6,0.2,0,0.4,0,0,2.1,4.1,0,5.3,0,0.7,10,210,95,19,71,0.7,0.4,0.07,0.61
701,にがうり　果実　生,15,63,15,94.4,0.7,1,0.1,0,0.1,0.3,0.3,1.6,2.6,0,3.9,0,0.6,1,260,14,14,31,0.4,0.2,0.05,0.1
702,にがうり　果実　油いため,0,193,47,90.3,0.8,1.2,3.2,0,3.3,0.4,0.4,2.3,2.8,0,4.6,0,0.6,1,260,14,15,33,0.5,0.2,0.05,0.11
703,（にら類）　にら　葉　生,5,75,18,92.6,1.3,1.7,0.1,0,0.3,1.7,1.7,1.9,2.7,0,4,0,1.1,1,510,48,18,31,0.7,0.3,0.07,0.39
704,（にら類）　にら　葉　ゆで,0,112,27,89.8,1.9,2.6,0.2,0,0.5,2.3,2.3,2.4,4.3,0,5.7,0,1.1,1,400,51,20,26,0.7,0.3,0.09,0.49
705,（にら類）　にら　葉　油いため,0,283,69,85.8,1.4,1.9,5.4,0,5.7,2,2,2.2,3.5,0,4.9,0,1.3,0,600,48,22,38,0.8,0.4,0.08,0.46
706,（にら類）　花にら　花茎・花らい　生,5,113,27,91.4,1.4,1.9,0.1,0,0.2,0,0,3.7,2.8,0,5.9,0,0.6,1,250,22,15,41,0.5,0.3,0.08,0.2
707,（にら類）　黄にら　葉　生,0,76,18,94,1.5,2.1,0,0,0.1,0,0,1.9,2,0,3.3,0,0.5,0,180,15,11,35,0.7,0.2,0.07,0.18
708,（にんじん類）　葉にんじん　葉　生,15,65,16,93.5,0,1.1,0,0,0.2,0,0,1,2.7,0,3.7,0,1.1,31,510,92,27,52,0.9,0.3,0.04,0.26
709,（にんじん類）　にんじん　根　皮つき　生,3,149,35,89.1,0.5,0.7,0.1,0,0.2,5.9,5.8,6.8,2.8,0,9.3,0,0.8,28,300,28,10,26,0.2,0.2,0.05,0.12
710,（にんじん類）　にんじん　根　皮つき　ゆで,0,120,29,90.2,0.4,0.6,0.1,0,0.2,5.3,5.2,5.7,3,0,8.4,0,0.6,23,270,32,12,29,0.3,0.3,0.05,0.16
711,（にんじん類）　にんじん　根　皮なし　生,10,127,30,89.7,0.6,0.8,0.1,0,0.1,5.8,5.7,6.2,2.4,0,8.7,0.3,0.7,34,270,26,9,25,0.2,0.2,0.05,0.1
712,（にんじん類）　にんじん　根　皮なし　ゆで,0,119,28,90,0.5,0.7,0.1,0,0.1,5.1,5,5.6,2.8,0,8.5,0.3,0.7,27,240,29,9,26,0.2,0.2,0.05,0.17
713,（にんじん類）　にんじん　根　皮なし　油いため,0,429,103,79.1,0.8,1.1,6.1,0,6.4,7.5,7.4,9.3,3.1,0,12.4,0.5,1.1,48,400,35,13,37,0.3,0.3,0.08,0.14
714,（にんじん類）　にんじん　根　皮なし　素揚げ,0,365,87,80.6,0.7,1,3.3,0,3.5,8.2,8.1,12.9,1.1,0,13.9,0.5,1,39,380,36,13,35,0.3,0.3,0.05,0.14
715,（にんじん類）　にんじん　根　皮　生,0,108,26,90.4,0.5,0.7,0,0,0.2,0,0,3.7,3.8,0,7.3,0,1.5,16,630,45,20,43,0.3,0.2,0.08,0.13
716,（にんじん類）　にんじん　根　冷凍,0,126,30,90.2,0.7,0.8,0.1,0,0.2,4.7,4.5,4.1,4.1,0,8.2,0.3,0.6,57,200,30,9,31,0.3,0.2,0.05,0.14
717,（にんじん類）　にんじん　根　冷凍　ゆで,0,101,24,91.7,0.6,0.7,0.1,0,0.2,3.5,3.3,3.5,3.5,0,7,0.2,0.4,40,130,31,8,26,0.3,0.2,0.04,0.14
718,（にんじん類）　にんじん　根　冷凍　油いため,0,271,65,85.2,0.7,0.9,3.8,0,4,5.1,4.9,5.2,4.2,0,9.3,0.3,0.6,60,210,33,9,33,0.3,0.2,0.06,0.17
719,（にんじん類）　にんじん　グラッセ,0,224,53,83.8,0.5,0.7,1.1,5,1.4,9.4,9.1,10.3,2.6,0,12.7,0.2,1.4,390,240,26,10,27,0.2,0.1,0.03,0.16
720,（にんじん類）　にんじん　ジュース　缶詰,0,125,29,92,0.4,0.6,0,0,0.1,5.9,5.7,6.7,0.2,0,6.7,0,0.6,19,280,10,7,20,0.2,0.1,0.04,0.07
721,（にんじん類）　きんとき　根　皮つき　生,15,163,39,87.3,1.3,1.8,0.1,0,0.2,0,0,6.3,3.9,0,9.6,0,1.1,11,540,37,11,64,0.4,0.9,0.09,0.15
722,（にんじん類）　きんとき　根　皮つき　ゆで,0,155,37,87.7,1.4,1.9,0.1,0,0.2,0,0,5.5,4.3,0,9.2,0,1,10,470,39,10,66,0.5,1,0.08,0.13
723,（にんじん類）　きんとき　根　皮なし　生,20,170,40,87.1,1.3,1.8,0.1,0,0.3,0,0,6.8,3.6,0,9.7,0,1.1,12,520,34,10,67,0.4,0.9,0.08,0.16
724,（にんじん類）　きんとき　根　皮なし　ゆで,0,168,40,87.1,1.4,1.9,0.1,0,0.4,0,0,6.3,4.1,0,9.6,0,1,9,480,38,9,72,0.4,1,0.08,0.12
725,（にんじん類）　ミニキャロット　根　生,1,109,26,90.9,0.5,0.7,0.1,0,0.2,4.7,4.6,5.1,2.7,0,7.5,0,0.7,15,340,30,8,22,0.3,0.2,0.05,0.12
726,（にんにく類）　にんにく　りん茎　生,9,544,129,63.9,4,6.4,0.5,0,0.9,1.1,1,24.1,6.2,0,27.5,0,1.4,8,510,14,24,160,0.8,0.8,0.16,0.28
727,（にんにく類）　にんにく　りん茎　油いため,0,803,191,53.7,5,8.2,5.2,0,5.9,1.2,1.2,27.6,6.8,0,30.6,0,1.6,16,610,18,29,200,1.2,1,0.21,0.36
728,（にんにく類）　茎にんにく　花茎　生,0,186,44,86.7,1.4,1.9,0.1,0,0.3,0,0,7.5,3.8,0,10.6,0,0.5,9,160,45,15,33,0.5,0.3,0.06,0.35
729,（にんにく類）　茎にんにく　花茎　ゆで,0,182,43,86.9,1.2,1.7,0.1,0,0.2,0,0,7.5,3.8,0,10.7,0,0.5,6,160,40,15,33,0.5,0.3,0.06,0.32
730,（ねぎ類）　根深ねぎ　葉　軟白　生,40,146,35,89.6,1,1.4,0,2,0.1,3.6,3.6,6.4,2.5,0,8.3,0,0.5,0,200,36,13,27,0.3,0.3,0.04,0.12
731,（ねぎ類）　根深ねぎ　葉　軟白　ゆで,0,118,28,91.4,0.8,1.3,0,0,0.1,3,3,4.8,2.5,0,6.8,0,0.4,0,150,28,10,22,0.3,0.3,0.05,0.09
732,（ねぎ類）　根深ねぎ　葉　軟白　油いため,0,321,77,83.9,1.1,1.6,4.1,0,4.4,4.1,4.1,7.7,2.7,0,9.5,0,0.5,0,220,35,14,28,0.3,0.3,0.06,0.11
733,（ねぎ類）　葉ねぎ　葉　生,7,121,29,90.5,1.3,1.9,0.1,0,0.3,0,0,4,3.2,0,6.5,0,0.7,1,260,80,19,40,1,0.3,0.05,0.18
734,（ねぎ類）　葉ねぎ　葉　油いため,0,321,77,83.9,1.5,2.1,4.9,0,5.2,0,0,4.9,3.9,0,7.9,0,0.9,2,310,95,22,49,1.2,0.4,0.06,0.21
735,（ねぎ類）　こねぎ　葉　生,10,111,26,91.3,1.4,2,0.1,0,0.3,0,0,3.7,2.5,0,5.4,0,0.9,1,320,100,17,36,1,0.3,0.03,0.18
736,のざわな　葉　生,3,60,14,94,0.8,0.9,0.1,0,0.1,0,0,1.7,2,0,3.5,0,1.1,24,390,130,19,40,0.6,0.3,0.05,0.23
737,のざわな　漬物　塩漬,5,70,17,91.8,1,1.2,0.1,0,0.1,0,0,1.8,2.5,0,4.1,0,2.4,610,300,130,21,39,0.4,0.3,0.05,0.13
738,のざわな　漬物　調味漬,3,93,22,89.5,0,1.7,0,0,0,0,0,2.3,3.1,0,5.4,0,3.2,960,360,94,21,36,0.7,0.3,0.08,0.15
739,のびる　りん茎葉　生,20,262,63,80.2,0,3.2,0.1,0,0.2,0,0,8.7,6.9,0,15.5,0,0.9,2,590,100,21,96,2.6,1,0.06,0.41
740,はくさい　結球葉　生,6,54,13,95.2,0.6,0.8,0,0,0.1,2,2,2.1,1.3,0,3.2,0,0.6,6,220,43,10,33,0.3,0.2,0.03,0.11
741,はくさい　結球葉　ゆで,10,54,13,95.4,0.7,0.9,0,0,0.1,1.9,1.9,1.8,1.4,0,2.9,0,0.5,5,160,43,9,33,0.3,0.2,0.03,0.12
742,はくさい　漬物　塩漬,4,70,17,92.1,1.1,1.5,0,0,0.1,0,0,1.8,1.8,0,3.3,0.3,2.8,820,240,39,12,41,0.4,0.2,0.04,0.06
743,はくさい　漬物　キムチ,0,112,27,88.4,0,2.3,0,0,0.1,0,0,2.7,2.2,0,5.4,0.3,3.6,1100,290,50,11,48,0.5,0.2,0.04,0.1
744,パクチョイ　葉　生,10,63,15,94,0,1.6,0.1,0,0.2,2.2,2.1,1,1.8,0,2.7,0,1.1,12,450,100,27,39,0.8,0.3,0.04,0.25
745,バジル　葉　生,20,86,21,91.5,1.2,2,0.5,0,0.6,0.3,0.3,0.9,4,0,4,0,1.5,1,420,240,69,41,1.5,0.6,0.2,1.91
746,パセリ　葉　生,10,142,34,84.7,3.2,4,0.5,0,0.7,0.9,0.9,1.9,6.8,0,7.8,0,2.7,9,1000,290,42,61,7.5,1,0.16,1.05
747,はつかだいこん　根　生,25,56,13,95.3,0.7,0.8,0.1,0,0.1,1.9,1.9,1.7,1.2,0,3.1,0,0.7,8,220,21,11,46,0.3,0.1,0.02,0.05
748,はなっこりー　生,0,144,34,89.5,0,3.6,0,0,0.5,0,0,2.2,3.1,0,5.4,0,1,5,380,51,22,79,0.5,0.5,0.06,0.28
749,はやとうり　果実　白色種　生,2,86,20,94,0.4,0.6,0.1,0,0.1,0,0,4,1.2,0,4.9,0,0.4,0,170,12,10,21,0.3,0.1,0.03,0.15
750,はやとうり　果実　白色種　塩漬,0,71,17,91,0.4,0.6,0,0,0,0,0,3,1.6,0,4.4,0,4,1400,110,8,10,14,0.2,0.1,0.04,0.17
751,はやとうり　果実　緑色種　生,2,86,21,94,0,0.6,0,0,0.1,0,0,3.7,1.2,0,4.9,0,0.4,0,170,12,10,21,0.3,0.1,0.03,0.15
752,ビーツ　根　生,10,159,38,87.6,1,1.6,0.1,0,0.1,7.3,6.9,7.2,2.7,0,9.3,0,1.1,30,460,12,18,23,0.4,0.3,0.09,0.15
753,ビーツ　根　ゆで,3,176,42,86.9,1,1.5,0.1,0,0.1,10.3,9.8,7.8,2.9,0,10.2,0,1,38,420,15,22,29,0.4,0.3,0.09,0.17
754,（ピーマン類）　青ピーマン　果実　生,15,85,20,93.4,0.7,0.9,0.1,0,0.2,2.3,2.3,3,2.3,0,5.1,0.2,0.4,1,190,11,11,22,0.4,0.2,0.06,0.1
755,（ピーマン類）　青ピーマン　果実　油いため,0,221,54,89,0.7,0.9,4.1,0,4.3,2.4,2.4,3.3,2.4,0,5.4,0.2,0.4,1,200,11,11,24,0.7,0.2,0.06,0.1
756,（ピーマン類）　赤ピーマン　果実　生,10,117,28,91.1,0.8,1,0.2,0,0.2,5.3,5.3,5.8,1.6,0,7.2,0,0.5,0,210,7,10,22,0.4,0.2,0.03,0.13
757,（ピーマン類）　赤ピーマン　果実　油いため,0,286,69,86.6,0.8,1,4.1,0,4.3,4.6,4.5,6.4,1.6,0,7.6,0,0.5,0,220,7,10,24,0.7,0.2,0.03,0.14
758,（ピーマン類）　オレンジピーマン　果実　生,9,81,19,94.2,0.7,0.9,0.1,0,0.3,3.1,3.1,2.8,1.8,0,4.2,0,0.4,0,230,5,10,26,0.3,0.2,0.04,0.1
759,（ピーマン類）　オレンジピーマン　果実　油いため,0,337,81,85.8,0.8,1.1,0,0,5.1,3.8,3.8,7.8,0,0,7.6,0,0.4,0,270,5,11,30,0.4,0.2,0.05,0.11
760,（ピーマン類）　黄ピーマン　果実　生,10,119,28,92,0.6,0.8,0.1,0,0.2,4.9,4.9,5.7,1.3,0,6.6,0,0.4,0,200,8,10,21,0.3,0.2,0.04,0.15
761,（ピーマン類）　黄ピーマン　果実　油いため,0,252,61,87.6,0.6,0.8,4.1,0,4.3,5.1,5.1,6.1,1.3,0,6.9,0,0.4,0,210,8,10,23,0.5,0.2,0.04,0.16
762,（ピーマン類）　トマピー　果実　生,15,138,33,90.9,0.8,1,0,0,0.2,0,0,6.1,1.6,0,7.5,0,0.4,0,210,8,8,29,0.4,0.3,0.07,0.12
763,ひのな　根・茎葉　生,4,70,17,92.5,0.8,1,0,0,0,0,0,1.9,3,0,4.7,0,1.3,10,480,130,21,51,0.8,0.2,0.04,0.17
764,ひのな　根・茎葉　甘酢漬,0,294,70,76.4,1.1,1.4,0,0,0.5,0,0,12.9,4.7,0,17.3,0,3.9,1100,550,130,22,40,0.9,0.3,0.08,0.12
765,ひろしまな　葉　生,4,80,19,92.7,1.1,1.5,0.1,0,0.2,0,0,2.3,2.4,0,4.2,0,1.1,28,550,200,32,55,0.8,0.3,0.04,0.54
766,ひろしまな　塩漬,5,62,15,92.7,0.9,1.2,0.2,0,0.2,0,0,1.2,2.4,0,3.3,0,2.5,840,120,74,13,17,0.8,0.3,0.06,0.12
767,（ふき類）　ふき　葉柄　生,40,44,11,95.8,0,0.3,0,0,0,0,0,1.7,1.3,0,3,0,0.7,35,330,40,6,18,0.1,0.2,0.05,0.36
768,（ふき類）　ふき　葉柄　ゆで,10,27,7,97.4,0,0.3,0,0,0,0,0,0.8,1.1,0,1.9,0,0.4,22,230,34,5,15,0.1,0.2,0.05,0.37
769,（ふき類）　ふきのとう　花序　生,2,159,38,85.5,0,2.5,0,0,0.1,0,0,3.6,6.4,0,10,0,1.9,4,740,61,49,89,1.3,0.8,0.36,0.23
770,（ふき類）　ふきのとう　花序　ゆで,0,127,31,89.2,0,2.5,0,0,0.1,0,0,2.8,4.2,0,7,0,1.2,3,440,46,33,54,0.7,0.5,0.2,0.17
771,ふじまめ　若ざや　生,6,132,32,89.2,0,2.5,0.1,0,0.1,0,0,3,4.4,0,7.4,0,0.8,0,300,43,33,63,0.8,0.4,0.07,0.33
772,ふだんそう　葉　生,0,70,17,92.2,0,2,0.1,0,0.1,0,0,0.4,3.3,0,3.7,0,1.9,71,1200,75,74,33,3.6,0.3,0.06,3.6
773,ふだんそう　葉　ゆで,0,108,26,90.4,0,2.8,0.1,0,0.1,0,0,1.6,3.8,0,5.4,0,1.2,61,760,130,79,34,2.1,0.4,0.06,4.85
774,ブロッコリー　花序　生,35,156,37,86.2,3.8,5.4,0.3,0,0.6,2.4,2.3,3.1,5.1,0,6.6,0.3,1.2,7,460,50,29,110,1.3,0.8,0.1,0.28
775,ブロッコリー　花序　ゆで,0,126,30,89.9,2.6,3.9,0.2,0,0.4,1.3,1.3,2.3,4.3,0,5.2,0,0.6,5,210,41,17,74,0.9,0.4,0.06,0.2
776,ブロッコリー　花序　電子レンジ調理,0,239,56,85.3,4,5.7,0,0,0.7,2.4,2.4,8.4,0,0,7,0.4,1.3,8,500,54,32,120,1.4,0.9,0.11,0.3
777,ブロッコリー　花序　焼き,0,353,83,78.5,6.9,9.9,0,0,1.2,4.3,4.3,11.3,0,0,8.4,0,2.1,13,820,90,53,200,2.3,1.5,0.17,0.5
778,ブロッコリー　花序　油いため,0,454,109,79.2,4.8,6.9,0,0,6.3,3.2,3.2,8.2,0,0,6.1,0,1.5,9,590,64,37,140,1.7,1.1,0.11,0.35
779,ブロッコリー　芽ばえ　生,0,75,18,94.3,1.3,1.9,0.3,0,0.6,1,1,1.6,1.8,0,2.6,0.1,0.5,4,100,57,32,60,0.7,0.4,0.03,0.37
780,へちま　果実　生,20,72,17,94.9,0.5,0.8,0.1,0,0.1,0,0,3.1,1,0,3.8,0,0.4,1,150,12,12,25,0.3,0.2,0.06,0.07
781,へちま　果実　ゆで,0,80,19,94.2,1.1,1.6,0.1,0,0.1,0,0,2.7,1.5,0,3.7,0,0.4,1,140,24,13,34,0.7,0.2,0.07,0.09
782,ほうれんそう　葉　通年平均　生,10,75,18,92.4,1.7,2.2,0.2,0,0.4,0.3,0.3,0.1,2.8,0,3.1,0.9,1.7,16,690,49,69,47,2,0.7,0.11,0.32
783,ほうれんそう　葉　通年平均　ゆで,5,94,23,91.5,2.1,2.6,0.3,0,0.5,0.4,0.4,1.2,3.6,0,4,0,1.2,10,490,69,40,43,0.9,0.7,0.11,0.33
784,ほうれんそう　葉　通年平均　油いため,0,375,91,82,3,3.8,7.6,0,8.1,0.5,0.4,1.1,4.6,0,4.4,0,1.5,13,530,88,52,54,1.2,0.8,0.15,0.2
785,ほうれんそう　葉　夏採り　生,10,75,18,92.4,1.7,2.2,0.2,0,0.4,0.3,0.3,0.1,2.8,0,3.1,0.9,1.7,16,690,49,69,47,2,0.7,0.11,0.32
786,ほうれんそう　葉　夏採り　ゆで,5,94,23,91.5,2.1,2.6,0.3,0,0.5,0.4,0.4,1.2,3.6,0,4,0,1.2,10,490,69,40,43,0.9,0.7,0.11,0.33
787,ほうれんそう　葉　冬採り　生,10,75,18,92.4,1.7,2.2,0.2,0,0.4,0.3,0.3,0.1,2.8,0,3.1,0.9,1.7,16,690,49,69,47,2,0.7,0.11,0.32
788,ほうれんそう　葉　冬採り　ゆで,5,94,23,91.5,2.1,2.6,0.3,0,0.5,0.4,0.4,1.2,3.6,0,4,0,1.2,10,490,69,40,43,0.9,0.7,0.11,0.33
789,ほうれんそう　葉　冷凍,0,90,22,92.2,2.4,2.9,0.2,0,0.3,0.6,0.6,0.3,3.3,0,3.4,0.5,1,120,210,100,51,46,1.2,0.5,0.1,0.8
790,ほうれんそう　葉　冷凍　ゆで,0,109,26,90.6,2.8,3.7,0.4,0,0.5,0.2,0.2,0,4.8,0,3.8,0.6,0.8,47,90,170,55,42,1.3,0.5,0.14,0.95
791,ほうれんそう　葉　冷凍　油いため,0,278,67,84.6,3,4,4.1,0,4.5,0.7,0.7,2.1,4.1,0,5.4,0.7,1.4,160,240,130,61,57,1.5,0.6,0.12,0.9
792,ホースラディシュ　根茎　生,25,290,69,77.3,2.5,3.1,0.3,0,0.3,0,0,10.2,8.2,0,17.7,0,1.6,1,510,110,65,58,1,2.3,0.19,0.4
793,まこも　茎　生,15,82,19,93.5,0.9,1.3,0.1,0,0.2,0,0,2.6,2.3,0,4.4,0,0.6,3,240,2,8,42,0.2,0.2,0.02,0.25
794,みずかけな　葉　生,0,107,25,91.1,2.5,2.9,0.1,0,0.1,0,0,2.4,2.8,0,4.7,0,1.1,7,400,110,23,64,1,0.3,0.07,0.17
795,みずかけな　塩漬,0,144,34,85.6,4.2,4.9,0,0,0,0,0,2.4,4,0,5.7,0,3.6,1000,440,110,26,67,1,0.5,0.08,0.29
796,みずな　葉　生,15,96,23,91.4,1.9,2.2,0,0,0.1,0,0,2.1,3,0,4.8,0,1.3,36,480,210,31,64,2.1,0.5,0.07,0.41
797,みずな　葉　ゆで,0,85,21,91.8,1.7,2,0,0,0.1,0,0,1.4,3.6,0,4.7,0,1.1,28,370,200,25,64,2,0.2,0.05,0.31
798,みずな　塩漬,10,107,26,88.2,1.7,2,0,0,0.1,0,0,2.7,3.5,0,5.9,0,3.4,900,450,200,30,60,1.3,0.3,0.06,0.25
799,（みつば類）　切りみつば　葉　生,0,66,16,93.8,0.9,1,0,0,0.1,0,0,1.6,2.5,0,4,0,1.1,8,640,25,17,50,0.3,0.1,0.07,0.14
800,（みつば類）　切りみつば　葉　ゆで,0,51,12,95.2,0.8,0.9,0,0,0.1,0,0,0.7,2.7,0,3.3,0,0.5,4,290,24,13,31,0.2,0.1,0.05,0.15
801,（みつば類）　根みつば　葉　生,35,80,19,92.7,1.8,1.9,0,0,0.1,0,0,1.3,2.9,0,4.1,0,1.2,5,500,52,21,64,1.8,0.2,0.07,0.42
802,（みつば類）　根みつば　葉　ゆで,0,79,19,92.9,2.1,2.3,0,0,0.1,0,0,0.8,3.3,0,3.9,0,0.8,4,270,64,18,54,1.2,0.2,0.07,0.35
803,（みつば類）　糸みつば　葉　生,8,48,12,94.6,0.8,0.9,0,0,0.1,0,0,0.7,2.3,0,2.9,0,1.2,3,500,47,21,47,0.9,0.1,0.02,0.42
804,（みつば類）　糸みつば　葉　ゆで,0,60,14,93.7,1,1.1,0,0,0,0,0,1.1,3,0,4,0,0.9,3,360,56,18,39,0.6,0.1,0.02,0.48
805,みぶな　葉　生,10,58,14,93.9,0.9,1.1,0.1,0,0.3,0,0,1.4,1.8,0,2.9,0,1.3,32,490,110,30,34,0.5,0.2,0.03,0.22
806,（みょうが類）　みょうが　花穂　生,3,44,11,95.6,0.7,0.9,0,0,0.1,0,0,0.7,2.1,0,2.6,0,0.8,1,210,25,30,12,0.5,0.4,0.05,1.17
807,（みょうが類）　みょうがたけ　茎葉　生,0,26,6,97.1,0.3,0.4,0,0,0.1,0,0,0.5,1.1,0,1.5,0,0.8,0,350,11,7,18,0.3,0.3,0.03,1.44
808,むかご　肉芽　生,25,367,87,75.1,1.8,2.9,0.1,0,0.2,0,0,17.5,4.2,0,20.6,0,1.2,3,570,5,19,64,0.6,0.4,0.15,0.05
809,めキャベツ　結球葉　生,0,219,52,83.2,3.9,5.7,0.1,0,0.1,4.2,4.1,6.2,5.5,0,9.9,0,1.1,5,610,37,25,73,1,0.6,0.07,0.29
810,めキャベツ　結球葉　ゆで,0,213,51,83.8,3.6,5.3,0.1,0,0.1,4.8,4.4,6.3,5.2,0,9.8,0,1,5,480,36,22,75,1,0.5,0.07,0.25
811,めたで　芽ばえ　生,0,162,39,87,0,3,0,0,0.5,0,0,2.5,6.3,0,8.8,0,0.7,9,140,49,70,110,2.3,0.9,0.09,7.66
812,（もやし類）　アルファルファもやし　生,0,47,11,96,0,1.6,0.1,0,0.1,0.3,0.3,0.6,1.4,0,2,0,0.3,7,43,14,13,37,0.5,0.4,0.09,0.1
813,（もやし類）　だいずもやし　生,4,122,29,92,2.9,3.7,1.2,0,1.5,0.6,0.6,1.1,2.3,0,2.3,0,0.5,3,160,23,23,51,0.5,0.4,0.12,0.3
814,（もやし類）　だいずもやし　ゆで,0,112,27,93,2.2,2.9,1.3,0,1.6,0.5,0.5,1,2.2,0,2.2,0,0.3,1,50,24,19,43,0.4,0.3,0.08,0.35
815,（もやし類）　ブラックマッペもやし　生,0,73,17,94.7,1.4,2.2,0,0,0,1.4,1.4,2.1,1.5,0,2.8,0,0.3,8,65,16,12,32,0.4,0.3,0.07,0.09
816,（もやし類）　ブラックマッペもやし　ゆで,0,53,13,95.8,0.8,1.3,0,0,0,1.1,1.1,1.6,1.6,0,2.7,0,0.2,2,12,24,10,17,0.4,0.3,0.05,0.09
817,（もやし類）　ブラックマッペもやし　油いため,0,173,41,90.6,1.4,2.3,0,0,0.9,1.8,1.8,6.7,0,0,5.8,0,0.3,9,71,18,13,34,0.4,0.3,0.07,0.1
818,（もやし類）　りょくとうもやし　生,3,64,15,95.4,1.2,1.7,0.1,0,0.1,1.3,1.3,1.8,1.3,0,2.6,0,0.2,2,69,10,8,25,0.2,0.3,0.08,0.06
819,（もやし類）　りょくとうもやし　ゆで,0,49,12,95.9,1.1,1.6,0,0,0,1.1,1.1,1.3,1.5,0,2.3,0,0.2,2,24,11,7,24,0.3,0.2,0.06,0.06
820,モロヘイヤ　茎葉　生,0,151,36,86.1,3.6,4.8,0.4,0,0.5,0.1,0.1,1.8,5.9,0,6.3,0,2.1,1,530,260,46,110,1,0.6,0.33,1.32
821,モロヘイヤ　茎葉　ゆで,0,100,24,91.3,2.2,3,0.3,0,0.4,0.1,0.1,1.4,3.5,0,4,0,1.2,0,160,170,26,53,0.6,0.4,0.2,1.02
822,やぶまめ　生,0,917,219,45.8,0,15.5,0,0,6.5,0,0,19.7,9.8,0,29.5,0,2.8,3,1100,44,110,240,4.6,0.9,0.19,0.6
